station_id,place,latitude_deg,longitude_deg,source
SOFIS1_A8610A3135399218,Terceira,38.791728,-27.261349,AIRC
SOFIS2_A8610A3135428119,Terceira,38.799564,-27.249441,AIRC
SOFIS3_A8610A3135197407,Terceira,38.799844,-27.264938,AIRC
SOFIS4_A8610A3439296D08,Terceira,38.799185,-27.267437,AIRC
